PlatformId,PlatformAcronym,PlatformName,PlatformCompany,Year,UnitsSold,ConsoleGeneration
10,Odyssey 1,Magnavox Odyssey,Magnavox,1972,"350000",1
11,Pong,Home Pong,Atari,1975,"200000",1
12,Atari 2600,Atari Video Computer System,Atari,1977,"30000000",2
13,Odyssey 2,Magnavox Odyssey 2,Magnavox,1979,"2000000",2
14,Intellivision,Intellivision,Mattel,1980,"3000000",2
15,Colecovision,Colecovision,CBS Electronics,1982,"2000000",2
16,Atari 5200,Atari 5200 Supersystem,Atari,1982,"1400000",2
17,NES,Nintendo Entertainment System,Nintendo,1983,"61910000",3
18,Sega Master System,Sega Master System,Sega,1985,"13000000",3
19,Atari 7800,Atari 7800 Pro System,Atari,1986,"3770000",3
20,TurboGrafx-16,TurboGrafx-16,NEC Home Electronics,1987,"5800000",4
21,Genesis,Sega Genesis,Sega,1988,"30750000",4
22,Neo Geo,Neo Geo,SNK Corporation,1990,"980000",4
23,SNES,Super Nintendo Entertainment System,Nintendo,1990,"49100000",4
24,Jaguar,Jaguar,Atari,1993,"250000",5
25,3D0,3DO,3DO Company,1993,"2000000",5
26,Sega Saturn,Sega Saturn,Sega,1994,"9260000",5
27,PS1,Play Station,Sony,1994,"102490000",5
28,N64,Nintendo 64,Nintendo,1996,"329360000",5
29,Dreamcast,Sega Dreamcast,Sega,1998,"9130000",6
30,PS2,Play Station 2,Sony,2000,"155000000",6
31,GameCube,GameCube,Nintendo,2001,"21740000",6
32,Xbox,Xbox,Microsoft,2002,"24000000",6
33,Xbox 360,Xbox 360,Microsoft,2005,"84700000",7
34,PS3,Play Station 3,Sony,2006,"87400000",7
35,Wii,Wii,Nintendo,2006,"101630000",7
36,Wii U,Wii U,Nintendo,2012,"13560000",8
37,Nintendo Switch,Nintendo Switch,Nintendo,2017,"103540000",8
38,PS4,Play Station 4,Sony,2013,"116900000",8
39,Xbox One,Xbox One,Microsoft,2013,"51000000",8
40,PS5,Play Station 5,Sony,2020,"17300000",9
41,Xbox X-S,Xbox Series X and Series S,Microsoft,2020,"12000000",9
